id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.division,children_count.district,children_count.upazila,zip_codes,geo.lat,geo.lon
BD2051,2,জেলা,District,লক্ষ্মীপুর,Lakshmipur,lakshmipur-bd2051,BD2051,,BD20,চট্টগ্রাম,Chattogram,,,5,3730,22.851,90.854
BD2075,2,জেলা,District,নোয়াখালী,Noakhali,noakhali-bd2075,BD2075,,BD20,চট্টগ্রাম,Chattogram,,,9,3850,22.658,91.129
BD2084,2,জেলা,District,রাঙ্গামাটি,Rangamati,rangamati-bd2084,BD2084,,BD20,চট্টগ্রাম,Chattogram,,,10,4570,22.825,92.281
BD30,1,বিভাগ,Division,ঢাকা,Dhaka,dhaka-bd30,BD30,,,,,,13,89,,23.839,90.242
BD3026,2,জেলা,District,ঢাকা,Dhaka,dhaka-bd3026,BD3026,,BD30,ঢাকা,Dhaka,,,5,1360,23.788,90.251
BD3029,2,জেলা,District,ফরিদপুর,Faridpur,faridpur-bd3029,BD3029,,BD30,ঢাকা,Dhaka,,,9,7870,23.478,89.836
BD3033,2,জেলা,District,গাজীপুর,Gazipur,gazipur-bd3033,BD3033,,BD30,ঢাকা,Dhaka,,,5,1703,24.099,90.446
BD3035,2,জেলা,District,গোপালগঞ্জ,Gopalganj,gopalganj-bd3035,BD3035,,BD30,ঢাকা,Dhaka,,,5,8102,23.105,89.899
BD3048,2,জেলা,District,কিশোরগঞ্জ,Kishoreganj,kishoreganj-bd3048,BD3048,,BD30,ঢাকা,Dhaka,,,13,2336,24.378,90.943
BD3054,2,জেলা,District,মাদারীপুর,Madaripur,madaripur-bd3054,BD3054,,BD30,ঢাকা,Dhaka,,,5,7932,23.222,90.166
BD3056,2,জেলা,District,মানিকগঞ্জ,Manikganj,manikganj-bd3056,BD3056,,BD30,ঢাকা,Dhaka,,,7,1860,23.841,89.951
BD3059,2,জেলা,District,মুন্সিগঞ্জ,Munshiganj,munshiganj-bd3059,BD3059,,BD30,ঢাকা,Dhaka,,,6,1510,23.526,90.416
BD3067,2,জেলা,District,নারায়ণগঞ্জ,Narayanganj,narayanganj-bd3067,BD3067,,BD30,ঢাকা,Dhaka,,,5,1450,23.724,90.578
BD3068,2,জেলা,District,নরসিংদী,Narsingdi,narsingdi-bd3068,BD3068,,BD30,ঢাকা,Dhaka,,,6,1640,24.003,90.774
BD3082,2,জেলা,District,রাজবাড়ী,Rajbari,rajbari-bd3082,BD3082,,BD30,ঢাকা,Dhaka,,,5,7730,23.729,89.561
BD3086,2,জেলা,District,শরিয়তপুর,Shariatpur,shariatpur-bd3086,BD3086,,BD30,ঢাকা,Dhaka,,,6,8030,23.245,90.415
BD3093,2,জেলা,District,টাঙ্গাইল,Tangail,tangail-bd3093,BD3093,,BD30,ঢাকা,Dhaka,,,12,1920,24.358,90
BD40,1,বিভাগ,Division,খুলনা,Khulna,khulna-bd40,BD40,,,,,,10,59,,22.838,89.305
BD4001,2,জেলা,District,বাগেরহাট,Bagerhat,bagerhat-bd4001,BD4001,,BD40,খুলনা,Khulna,,,9,9300,22.329,89.744
BD4018,2,জেলা,District,চুয়াডাঙ্গা,Chuadanga,chuadanga-bd4018,BD4018,,BD40,খুলনা,Khulna,,,4,7210,23.609,88.849
BD4041,2,জেলা,District,যশোর,Jashore,jashore-bd4041,BD4041,,BD40,খুলনা,Khulna,,,8,7470,23.089,89.175
BD4044,2,জেলা,District,ঝিনাইদহ,Jhenaidah,jhenaidah-bd4044,BD4044,,BD40,খুলনা,Khulna,,,6,7310,23.488,89.087
BD4047,2,জেলা,District,খুলনা,Khulna,khulna-bd4047,BD4047,,BD40,খুলনা,Khulna,,,9,9240,22.366,89.453
BD4050,2,জেলা,District,কুষ্টিয়া,Kushtia,kushtia-bd4050,BD4050,,BD40,খুলনা,Khulna,,,6,7042,23.926,89.018
BD4055,2,জেলা,District,মাগুরা,Magura,magura-bd4055,BD4055,,BD40,খুলনা,Khulna,,,4,7620,23.444,89.433
BD4057,2,জেলা,District,মেহেরপুর,Meherpur,meherpur-bd4057,BD4057,,BD40,খুলনা,Khulna,,,3,7110,23.794,88.707
BD4065,2,জেলা,District,নড়াইল,Narail,narail-bd4065,BD4065,,BD40,খুলনা,Khulna,,,3,7520,23.131,89.578
BD4087,2,জেলা,District,সাতক্ষীরা,Satkhira,satkhira-bd4087,BD4087,,BD40,খুলনা,Khulna,,,7,9460,22.308,89.143
BD45,1,বিভাগ,Division,ময়মনসিংহ,Mymensingh,mymensingh-bd45,BD45,,,,,,4,35,,24.848,90.382
BD4539,2,জেলা,District,জামালপুর,Jamalpur,jamalpur-bd4539,BD4539,,BD45,ময়মনসিংহ,Mymensingh,,,7,2030,24.977,89.847
BD4561,2,জেলা,District,ময়মনসিংহ,Mymensingh,mymensingh-bd4561,BD4561,,BD45,ময়মনসিংহ,Mymensingh,,,13,2240,24.699,90.43
BD4572,2,জেলা,District,নেত্রকোনা,Netrakona,netrakona-bd4572,BD4572,,BD45,ময়মনসিংহ,Mymensingh,,,10,2400,24.871,90.845
BD4589,2,জেলা,District,শেরপুর,Sherpur,sherpur-bd4589,BD4589,,BD45,ময়মনসিংহ,Mymensingh,,,5,2140,25.083,90.075
BD50,1,বিভাগ,Division,রাজশাহী,Rajshahi,rajshahi-bd50,BD50,,,,,,8,67,,24.589,89.046
BD5010,2,জেলা,District,বগুড়া,Bogura,bogura-bd5010,BD5010,,BD50,রাজশাহী,Rajshahi,,,12,5890,24.824,89.38
BD5038,2,জেলা,District,জয়পুরহাট,Joypurhat,joypurhat-bd5038,BD5038,,BD50,রাজশাহী,Rajshahi,,,5,5940,25.093,89.084
BD5064,2,জেলা,District,নওগাঁ,Naogaon,naogaon-bd5064,BD5064,,BD50,রাজশাহী,Rajshahi,,,11,6596,24.9,88.752
BD5069,2,জেলা,District,নাটোর,Natore,natore-bd5069,BD5069,,BD50,রাজশাহী,Rajshahi,,,7,6422,24.381,89.087
BD5070,2,জেলা,District,চাঁপাইনবাবগঞ্জ,Chapainababganj,chapainababganj-bd5070,BD5070,,BD50,রাজশাহী,Rajshahi,,,5,6300,24.716,88.264
BD5076,2,জেলা,District,পাবনা,Pabna,pabna-bd5076,BD5076,,BD50,রাজশাহী,Rajshahi,,,9,6650,24.053,89.386
BD5081,2,জেলা,District,রাজশাহী,Rajshahi,rajshahi-bd5081,BD5081,,BD50,রাজশাহী,Rajshahi,,,9,6281,24.468,88.651
BD5088,2,জেলা,District,সিরাজগঞ্জ,Sirajganj,sirajganj-bd5088,BD5088,,BD50,রাজশাহী,Rajshahi,,,9,6730,24.392,89.601
BD55,1,বিভাগ,Division,রংপুর,Rangpur,rangpur-bd55,BD55,,,,,,8,58,,25.78,89.054
BD5527,2,জেলা,District,দিনাজপুর,Dinajpur,dinajpur-bd5527,BD5527,,BD55,রংপুর,Rangpur,,,13,5270,25.63,88.786
BD5532,2,জেলা,District,গাইবান্ধা,Gaibandha,gaibandha-bd5532,BD5532,,BD55,রংপুর,Rangpur,,,7,5750,25.298,89.505
BD5549,2,জেলা,District,কুড়িগ্রাম,Kurigram,kurigram-bd5549,BD5549,,BD55,রংপুর,Rangpur,,,9,5670,25.79,89.695
BD5552,2,জেলা,District,লালমনিরহাট,Lalmonirhat,lalmonirhat-bd5552,BD5552,,BD55,রংপুর,Rangpur,,,5,5510,26.063,89.237
BD5573,2,জেলা,District,নীলফামারী,Nilphamari,nilphamari-bd5573,BD5573,,BD55,রংপুর,Rangpur,,,6,5350,26.026,88.93
BD5577,2,জেলা,District,পঞ্চগড়,Panchagarh,panchagarh-bd5577,BD5577,,BD55,রংপুর,Rangpur,,,5,5010,26.285,88.579
BD5585,2,জেলা,District,রংপুর,Rangpur,rangpur-bd5585,BD5585,,BD55,রংপুর,Rangpur,,,8,5430,25.651,89.237
BD5594,2,জেলা,District,ঠাকুরগাঁও,Thakurgaon,thakurgaon-bd5594,BD5594,,BD55,রংপুর,Rangpur,,,5,5140,25.99,88.345
BD60,1,বিভাগ,Division,সিলেট,Sylhet,sylhet-bd60,BD60,,,,,,4,41,,24.715,91.665
BD6036,2,জেলা,District,হবিগঞ্জ,Habiganj,habiganj-bd6036,BD6036,,BD60,সিলেট,Sylhet,,,9,3360,24.369,91.432
BD6058,2,জেলা,District,মৌলভীবাজার,Moulvibazar,moulvibazar-bd6058,BD6058,,BD60,সিলেট,Sylhet,,,7,3250,24.481,91.916
BD6090,2,জেলা,District,সুনামগঞ্জ,Sunamganj,sunamganj-bd6090,BD6090,,BD60,সিলেট,Sylhet,,,12,3010,24.94,91.346
BD6091,2,জেলা,District,সিলেট,Sylhet,sylhet-bd6091,BD6091,,BD60,সিলেট,Sylhet,,,13,3120,24.92,91.988
